case_text,case_type,severity_score,court_level,timestamp,case_type_encoded
Complaint regarding assault involving family members,criminal_law,1.0,police_station,2026-03-20T10:01:20.028550,6
Criminal complaint under 400 IPC,civil_dispute,0.3,district_court,2026-03-20T10:01:20.028550,1
FIR registered for cyber crime at residential area,criminal_law,0.9,police_station,2026-03-20T10:01:20.028550,6
Petition challenging right to life under Article 19 of Constitution,criminal_appeal,0.7,supreme_court,2026-03-19T10:01:20.028550,5
Appeal against High Court judgment in service_matters matter,service_matters,0.5,supreme_court,2026-03-19T10:01:20.028550,11
Criminal appeal challenging conviction under 395 IPC,civil_appeal,0.4,supreme_court,2026-03-19T10:01:20.028550,0
Domestic violence by husband,family_law,0.9,user_input,2026-03-19T10:01:20.028550,8
Writ petition seeking justice against state authority,civil_appeal,0.4,supreme_court,2026-03-19T10:01:20.028550,0
Online shopping fraud,consumer_rights,0.3,user_input,2026-03-19T10:01:20.028550,3
Boundary dispute,civil_dispute,0.4,user_input,2026-03-19T10:01:20.028550,1
Family dispute petition for maintenance,family_law,0.7,district_court,2026-03-19T10:01:20.028550,8
Family court petition for divorce,property_dispute,0.5,high_court,2026-03-19T10:01:20.028550,10
Consumer complaint against misleading in vehicle,civil_dispute,0.3,district_court,2026-03-18T10:01:20.028550,1
Builder delayed possession of flat,property_dispute,0.6,user_input,2026-03-18T10:01:20.028550,10
FIR registered for fraud at public place,criminal_law,1.0,police_station,2026-03-18T10:01:20.028550,6
Criminal appeal challenging conviction under 401 IPC,civil_appeal,0.4,supreme_court,2026-03-18T10:01:20.028550,0
Civil suit for recovery of ₹1033507 regarding loan,civil_dispute,0.3,district_court,2026-03-18T10:01:20.028550,1
Complaint regarding fraudulent transaction involving family members,criminal_law,1.0,police_station,2026-03-18T10:01:20.028550,6
Civil suit for recovery of ₹3984710 regarding loan,family_law,0.6,district_court,2026-03-18T10:01:20.028550,8
Criminal appeal challenging conviction under 409 IPC,constitutional_law,0.8,supreme_court,2026-03-18T10:01:20.028550,2
Harassment by ex-partner,criminal_law,1.0,user_input,2026-03-18T10:01:20.028550,6
Family property partition,family_law,0.6,user_input,2026-03-18T10:01:20.028550,8
Appeal against High Court judgment in civil_appeal matter,civil_appeal,0.4,supreme_court,2026-03-18T10:01:20.028550,0
Writ petition seeking compensation against state authority,civil_appeal,0.4,supreme_court,2026-03-17T10:01:20.028550,0
Petition challenging discrimination under Article 24 of Constitution,taxation,0.3,supreme_court,2026-03-17T10:01:20.028550,12
Salary delay every month,labor_law,0.8,user_input,2026-03-17T10:01:20.028550,9
Writ petition seeking compensation against government,civil_appeal,0.4,supreme_court,2026-03-16T10:01:20.028550,0
No overtime pay for extra hours worked,labor_law,0.7,user_input,2026-03-16T10:01:20.028550,9
Police report of criminal intimidation under 437 IPC,criminal_law,0.9,police_station,2026-03-16T10:01:20.028550,6
Family court petition for custody,family_law,0.6,high_court,2026-03-16T10:01:20.028550,8
Suit for injunction in contract_dispute dispute,contract_dispute,0.5,high_court,2026-03-16T10:01:20.028550,4
Family court petition for maintenance,contract_dispute,0.4,high_court,2026-03-16T10:01:20.028550,4
Appeal against High Court judgment in taxation matter,taxation,0.3,supreme_court,2026-03-16T10:01:20.028550,12
Family dispute petition for dissolution,family_law,0.7,district_court,2026-03-15T10:01:20.028550,8
Money lent not returned,civil_dispute,0.3,user_input,2026-03-15T10:01:20.028550,1
Apartment maintenance issues,property_dispute,0.5,user_input,2026-03-15T10:01:20.028550,10
Criminal complaint under 443 IPC,criminal_trial,0.8,district_court,2026-03-15T10:01:20.028550,7
Police report of assault under 414 IPC,criminal_law,1.0,police_station,2026-03-14T10:01:20.028550,6
Civil suit for recovery of ₹353463 regarding services,criminal_trial,0.8,district_court,2026-03-14T10:01:20.028550,7
Spouse not giving maintenance,family_law,0.6,user_input,2026-03-14T10:01:20.028550,8
Insurance claim rejected unfairly,consumer_rights,0.2,user_input,2026-03-14T10:01:20.028550,3
Parking space issue,civil_dispute,0.3,user_input,2026-03-14T10:01:20.028550,1
Petition challenging freedom of speech under Article 22 of Constitution,service_matters,0.5,supreme_court,2026-03-13T10:01:20.028550,11
FIR registered for domestic violence at commercial complex,criminal_law,1.0,police_station,2026-03-12T10:01:20.028550,6
Writ petition seeking compensation against corporation,taxation,0.3,supreme_court,2026-03-12T10:01:20.028550,12
Landlord not returning security deposit,property_dispute,0.5,user_input,2026-03-12T10:01:20.028550,10
Criminal appeal challenging conviction under 306 IPC,constitutional_law,0.8,supreme_court,2026-03-12T10:01:20.028550,2
Unfair termination from job,labor_law,0.8,user_input,2026-03-11T10:01:20.028550,9
Petition challenging discrimination under Article 15 of Constitution,constitutional_law,0.8,supreme_court,2026-03-11T10:01:20.028550,2
Criminal case filed for property damage against business,criminal_law,0.9,police_station,2026-03-11T10:01:20.028550,6
FIR registered for cyber crime at workplace,criminal_law,0.9,police_station,2026-03-11T10:01:20.028550,6
Contract breach case seeking compensation,property_dispute,0.6,high_court,2026-03-11T10:01:20.028550,10
Workplace harassment by manager,labor_law,1.0,user_input,2026-03-10T10:01:20.028550,9
Writ petition seeking justice against corporation,civil_appeal,0.4,supreme_court,2026-03-10T10:01:20.028550,0
Civil suit for recovery of ₹2335278 regarding goods,criminal_trial,0.8,district_court,2026-03-10T10:01:20.028550,7
Suit for possession in property_dispute dispute,property_dispute,0.6,high_court,2026-03-10T10:01:20.028550,10
Dispute over loan repayment,civil_dispute,0.4,user_input,2026-03-10T10:01:20.028550,1
Bank charged extra fees,consumer_rights,0.2,user_input,2026-03-09T10:01:20.028550,3
Consumer complaint against substandard in appliance,consumer_rights,0.2,district_court,2026-03-09T10:01:20.028550,3
Writ petition seeking quashing of order against corporation,civil_appeal,0.4,supreme_court,2026-03-09T10:01:20.028550,0
Cyber crime on my account,criminal_law,0.9,user_input,2026-03-09T10:01:20.028550,6
Criminal appeal challenging conviction under 403 IPC,civil_appeal,0.4,supreme_court,2026-03-09T10:01:20.028550,0
Not getting paid for work done,labor_law,0.7,user_input,2026-03-09T10:01:20.028550,9
Criminal complaint under 503 IPC,family_law,0.6,district_court,2026-03-08T10:01:20.028550,8
Petition challenging freedom of speech under Article 31 of Constitution,service_matters,0.5,supreme_court,2026-03-08T10:01:20.028550,11
Petition challenging privacy violation under Article 32 of Constitution,constitutional_law,0.9,supreme_court,2026-03-08T10:01:20.028550,2
Civil suit for recovery of ₹1097786 regarding services,consumer_rights,0.2,district_court,2026-03-07T10:01:20.028550,3
Criminal appeal challenging conviction under 348 IPC,service_matters,0.5,supreme_court,2026-03-06T10:01:20.028550,11
Suit for injunction in property_dispute dispute,property_dispute,0.6,high_court,2026-03-06T10:01:20.028550,10
Adoption process for child,family_law,0.6,user_input,2026-03-06T10:01:20.028550,8
Consumer complaint against substandard in service,civil_dispute,0.3,district_court,2026-03-05T10:01:20.028550,1
Assaulted by unknown person,criminal_law,1.0,user_input,2026-03-05T10:01:20.028550,6
Criminal complaint under 364 IPC,family_law,0.6,district_court,2026-03-05T10:01:20.028550,8
FIR registered for fraud at residential area,criminal_law,1.0,police_station,2026-03-05T10:01:20.028550,6
Civil suit for recovery of ₹3809727 regarding property,criminal_trial,0.8,district_court,2026-03-05T10:01:20.028550,7
Civil suit for recovery of ₹112492 regarding property,criminal_trial,0.8,district_court,2026-03-05T10:01:20.028550,7
Criminal appeal challenging conviction under 377 IPC,civil_appeal,0.4,supreme_court,2026-03-04T10:01:20.028550,0
Petition challenging freedom of speech under Article 30 of Constitution,constitutional_law,0.8,supreme_court,2026-03-04T10:01:20.028550,2
FIR registered for fraud at commercial complex,criminal_law,1.0,police_station,2026-03-04T10:01:20.028550,6
Boundary wall dispute with neighbor,property_dispute,0.6,user_input,2026-03-04T10:01:20.028550,10
Consumer complaint against misleading in electronics,criminal_trial,0.8,district_court,2026-03-03T10:01:20.028550,7
Neighbor encroaching on my property,property_dispute,0.5,user_input,2026-03-02T10:01:20.028550,10
Appeal against High Court judgment in constitutional_law matter,constitutional_law,1.0,supreme_court,2026-03-02T10:01:20.028550,2
Want to divorce my spouse,family_law,0.6,user_input,2026-03-02T10:01:20.028550,8
Police report of criminal intimidation under 479 IPC,criminal_law,0.9,police_station,2026-03-02T10:01:20.028550,6
Petition challenging freedom of speech under Article 14 of Constitution,constitutional_law,0.8,supreme_court,2026-03-01T10:01:20.028550,2
Criminal complaint under 343 IPC,criminal_trial,0.8,district_court,2026-03-01T10:01:20.028550,7
Police report of criminal intimidation under 459 IPC,criminal_law,0.9,police_station,2026-03-01T10:01:20.028550,6
Criminal case filed for physical harm against individual,criminal_law,0.9,police_station,2026-03-01T10:01:20.028550,6
Criminal case filed for privacy breach against individual,criminal_law,1.0,police_station,2026-02-28T10:01:20.028550,6
Payment dispute with contractor,contract_dispute,0.5,user_input,2026-02-28T10:01:20.028550,4
Consumer complaint against defective in vehicle,criminal_trial,0.8,district_court,2026-02-28T10:01:20.028550,7
Petition challenging right to life under Article 24 of Constitution,service_matters,0.5,supreme_court,2026-02-27T10:01:20.028550,11
FIR registered for assault at commercial complex,criminal_law,1.0,police_station,2026-02-27T10:01:20.028550,6
Labor dispute regarding termination,family_law,0.7,high_court,2026-02-27T10:01:20.028550,8
Suit for possession in criminal_law dispute,criminal_law,1.0,high_court,2026-02-27T10:01:20.028550,6
Consumer complaint against misleading in appliance,civil_dispute,0.3,district_court,2026-02-26T10:01:20.028550,1
Criminal complaint under 490 IPC,criminal_trial,0.8,district_court,2026-02-26T10:01:20.028550,7
Civil suit for recovery of ₹2534771 regarding property,family_law,0.6,district_court,2026-02-26T10:01:20.028550,8
Complaint regarding theft involving colleagues,criminal_law,1.0,police_station,2026-02-25T10:01:20.028550,6
Maintenance for children,family_law,0.6,user_input,2026-02-25T10:01:20.028550,8
Police report of theft under 504 IPC,criminal_law,1.0,police_station,2026-02-25T10:01:20.028550,6
Consumer complaint against substandard in electronics,civil_dispute,0.3,district_court,2026-02-25T10:01:20.028550,1
Car dealer gave faulty vehicle,consumer_rights,0.2,user_input,2026-02-25T10:01:20.028550,3
Threatened by neighbor,criminal_law,1.0,user_input,2026-02-24T10:01:20.028550,6
Police report of criminal intimidation under 392 IPC,criminal_law,0.9,police_station,2026-02-24T10:01:20.028550,6
Police report of theft under 510 IPC,criminal_law,1.0,police_station,2026-02-24T10:01:20.028550,6
Agreement violation by company,contract_dispute,0.5,user_input,2026-02-24T10:01:20.028550,4
Complaint regarding assault involving neighbors,criminal_law,1.0,police_station,2026-02-24T10:01:20.028550,6
Complaint regarding fraudulent transaction involving colleagues,criminal_law,1.0,police_station,2026-02-24T10:01:20.028550,6
Consumer complaint against defective in service,family_law,0.6,district_court,2026-02-23T10:01:20.028550,8
Criminal appeal challenging conviction under 413 IPC,civil_appeal,0.4,supreme_court,2026-02-23T10:01:20.028550,0
Contract breach case seeking refund,family_law,0.7,high_court,2026-02-22T10:01:20.028550,8
Petition challenging freedom of speech under Article 18 of Constitution,taxation,0.3,supreme_court,2026-02-22T10:01:20.028550,12
FIR registered for fraud at workplace,criminal_law,1.0,police_station,2026-02-22T10:01:20.028550,6
Civil suit for recovery of ₹2509096 regarding loan,consumer_rights,0.2,district_court,2026-02-21T10:01:20.028550,3
Criminal appeal challenging conviction under 314 IPC,civil_appeal,0.4,supreme_court,2026-02-21T10:01:20.028550,0
Criminal complaint under 328 IPC,criminal_trial,0.8,district_court,2026-02-21T10:01:20.028550,7
Complaint regarding fraudulent transaction involving neighbors,criminal_law,1.0,police_station,2026-02-21T10:01:20.028550,6
Writ petition seeking quashing of order against state authority,criminal_appeal,0.7,supreme_court,2026-02-21T10:01:20.028550,5
Complaint regarding theft involving neighbors,criminal_law,1.0,police_station,2026-02-20T10:01:20.028550,6
Civil suit for recovery of ₹2338977 regarding property,civil_dispute,0.3,district_court,2026-02-20T10:01:20.028550,1
Suit for damages in contract_dispute dispute,contract_dispute,0.5,high_court,2026-02-16T10:01:20.028550,4
Petition challenging privacy violation under Article 26 of Constitution,taxation,0.4,supreme_court,2026-02-15T10:01:20.028550,12
Civil suit for recovery of ₹4347569 regarding services,civil_dispute,0.3,district_court,2026-02-15T10:01:20.028550,1
My boss hasn't paid my salary for 2 months,labor_law,0.7,user_input,2026-02-15T10:01:20.028550,9
Rent not returned by tenant,property_dispute,0.5,user_input,2026-02-14T10:01:20.028550,10
Civil suit for recovery of ₹3879510 regarding property,family_law,0.6,district_court,2026-02-14T10:01:20.028550,8
Criminal complaint under 406 IPC,criminal_trial,0.8,district_court,2026-02-14T10:01:20.028550,7
FIR registered for assault at residential area,criminal_law,1.0,police_station,2026-02-14T10:01:20.028550,6
Writ petition seeking quashing of order against government,service_matters,0.5,supreme_court,2026-02-14T10:01:20.028550,11
Police report of criminal intimidation under 402 IPC,criminal_law,0.9,police_station,2026-02-14T10:01:20.028550,6
Suit for declaration in property_dispute dispute,property_dispute,0.6,high_court,2026-02-13T10:01:20.028550,10
Criminal complaint under 425 IPC,criminal_trial,0.8,district_court,2026-02-13T10:01:20.028550,7
Suit for possession in family_law dispute,family_law,0.7,high_court,2026-02-13T10:01:20.028550,8
Theft at workplace,criminal_law,1.0,user_input,2026-02-12T10:01:20.028550,6
Police report of criminal intimidation under 403 IPC,criminal_law,0.9,police_station,2026-02-12T10:01:20.028550,6
FIR registered for assault at workplace,criminal_law,1.0,police_station,2026-02-12T10:01:20.028550,6
Consumer complaint against substandard in vehicle,family_law,0.6,district_court,2026-02-11T10:01:20.028550,8
Service provider breach of contract,contract_dispute,0.5,user_input,2026-02-11T10:01:20.028550,4
Business partner cheated me,contract_dispute,0.4,user_input,2026-02-11T10:01:20.028550,4
Criminal complaint under 435 IPC,civil_dispute,0.3,district_court,2026-02-11T10:01:20.028550,1
Business deal gone wrong,contract_dispute,0.4,user_input,2026-02-11T10:01:20.028550,4
Criminal case filed for physical harm against business,criminal_law,0.9,police_station,2026-02-10T10:01:20.028550,6
Criminal appeal challenging conviction under 415 IPC,civil_appeal,0.4,supreme_court,2026-02-09T10:01:20.028550,0
Police report of cheating under 460 IPC,criminal_law,0.9,police_station,2026-02-09T10:01:20.028550,6
FIR registered for theft at workplace,criminal_law,1.0,police_station,2026-02-08T10:01:20.028550,6
FIR registered for theft at commercial complex,criminal_law,1.0,police_station,2026-02-07T10:01:20.028550,6
Noise pollution complaint,civil_dispute,0.3,user_input,2026-02-07T10:01:20.028550,1
Police report of criminal intimidation under 412 IPC,criminal_law,0.9,police_station,2026-02-06T10:01:20.028550,6
Criminal complaint under 438 IPC,family_law,0.6,district_court,2026-02-05T10:01:20.028550,8
Client not paying for services,contract_dispute,0.4,user_input,2026-02-05T10:01:20.028550,4
Criminal complaint under 434 IPC,criminal_trial,0.8,district_court,2026-02-05T10:01:20.028550,7
Petition challenging right to life under Article 14 of Constitution,criminal_appeal,0.7,supreme_court,2026-02-04T10:01:20.028550,5
Police report of theft under 479 IPC,criminal_law,1.0,police_station,2026-02-03T10:01:20.028550,6
Petition challenging freedom of speech under Article 16 of Constitution,constitutional_law,0.8,supreme_court,2026-02-03T10:01:20.028550,2
Complaint regarding assault involving colleagues,criminal_law,1.0,police_station,2026-02-03T10:01:20.028550,6
Police report of theft under 385 IPC,criminal_law,1.0,police_station,2026-02-03T10:01:20.028550,6
Civil suit for recovery of ₹2401579 regarding services,criminal_trial,0.8,district_court,2026-02-02T10:01:20.028550,7
Suit for declaration in family_law dispute,family_law,0.7,high_court,2026-02-02T10:01:20.028550,8
Consumer complaint against misleading in service,consumer_rights,0.2,district_court,2026-02-01T10:01:20.028550,3
Civil suit for recovery of ₹4605226 regarding loan,family_law,0.6,district_court,2026-02-01T10:01:20.028550,8
Criminal complaint under 402 IPC,consumer_rights,0.2,district_court,2026-01-31T10:01:20.028550,3
Labor dispute regarding working conditions,labor_law,0.8,high_court,2026-01-31T10:01:20.028550,9
Petition challenging discrimination under Article 22 of Constitution,service_matters,0.5,supreme_court,2026-01-31T10:01:20.028550,11
Police report of assault under 494 IPC,criminal_law,1.0,police_station,2026-01-31T10:01:20.028550,6
Suit for injunction in family_law dispute,family_law,0.7,high_court,2026-01-28T10:01:20.028550,8
Criminal appeal challenging conviction under 398 IPC,civil_appeal,0.4,supreme_court,2026-01-28T10:01:20.028550,0
Police report of theft under 458 IPC,criminal_law,1.0,police_station,2026-01-27T10:01:20.028550,6
Criminal appeal challenging conviction under 394 IPC,taxation,0.3,supreme_court,2026-01-27T10:01:20.028550,12
Police report of criminal intimidation under 460 IPC,criminal_law,0.9,police_station,2026-01-27T10:01:20.028550,6
Petition challenging right to life under Article 18 of Constitution,service_matters,0.5,supreme_court,2026-01-26T10:01:20.028550,11
Civil suit for recovery of ₹605537 regarding property,criminal_trial,0.8,district_court,2026-01-26T10:01:20.028550,7
Complaint regarding theft involving strangers,criminal_law,1.0,police_station,2026-01-26T10:01:20.028550,6
House owner not giving possession,property_dispute,0.5,user_input,2026-01-26T10:01:20.028550,10
Criminal appeal challenging conviction under 406 IPC,service_matters,0.5,supreme_court,2026-01-26T10:01:20.028550,11
Petition challenging privacy violation under Article 17 of Constitution,taxation,0.4,supreme_court,2026-01-26T10:01:20.028550,12
Criminal appeal challenging conviction under 366 IPC,service_matters,0.5,supreme_court,2026-01-25T10:01:20.028550,11
Civil suit for recovery of ₹2574788 regarding goods,consumer_rights,0.2,district_court,2026-01-24T10:01:20.028550,3
Suit for possession in labor_law dispute,labor_law,0.8,high_court,2026-01-24T10:01:20.028550,9
Petition challenging discrimination under Article 23 of Constitution,constitutional_law,0.8,supreme_court,2026-01-24T10:01:20.028550,2
Complaint regarding fraudulent transaction involving strangers,criminal_law,1.0,police_station,2026-01-24T10:01:20.028550,6
Police report of theft under 459 IPC,criminal_law,1.0,police_station,2026-01-24T10:01:20.028550,6
Criminal complaint under 368 IPC,civil_dispute,0.3,district_court,2026-01-23T10:01:20.028550,1
Water supply dispute,civil_dispute,0.4,user_input,2026-01-23T10:01:20.028550,1
Contract employee not getting benefits,labor_law,0.7,user_input,2026-01-23T10:01:20.028550,9
Suit for declaration in contract_dispute dispute,contract_dispute,0.5,high_court,2026-01-23T10:01:20.028550,4
Criminal complaint under 348 IPC,criminal_trial,0.8,district_court,2026-01-22T10:01:20.028550,7
FIR registered for cyber crime at public place,criminal_law,0.9,police_station,2026-01-22T10:01:20.028550,6
Petition challenging freedom of speech under Article 27 of Constitution,taxation,0.3,supreme_court,2026-01-22T10:01:20.028550,12
Petition challenging discrimination under Article 26 of Constitution,constitutional_law,0.8,supreme_court,2026-01-22T10:01:20.028550,2
Criminal appeal challenging conviction under 317 IPC,constitutional_law,0.8,supreme_court,2026-01-21T10:01:20.028550,2
Petition challenging privacy violation under Article 31 of Constitution,criminal_appeal,0.8,supreme_court,2026-01-20T10:01:20.028550,5
Suit for damages in labor_law dispute,labor_law,0.8,high_court,2026-01-18T10:01:20.028550,9
Police report of assault under 417 IPC,criminal_law,1.0,police_station,2026-01-18T10:01:20.028550,6
Civil suit for recovery of ₹4042220 regarding goods,consumer_rights,0.2,district_court,2026-01-18T10:01:20.028550,3
Police report of cheating under 494 IPC,criminal_law,0.9,police_station,2026-01-18T10:01:20.028550,6
Complaint regarding harassment involving colleagues,criminal_law,1.0,police_station,2026-01-16T10:01:20.028550,6
Criminal complaint under 329 IPC,consumer_rights,0.2,district_court,2026-01-15T10:01:20.028550,3
Police report of criminal intimidation under 435 IPC,criminal_law,0.9,police_station,2026-01-14T10:01:20.028550,6
Complaint regarding assault involving strangers,criminal_law,1.0,police_station,2026-01-13T10:01:20.028550,6
Criminal appeal challenging conviction under 414 IPC,criminal_appeal,0.7,supreme_court,2026-01-13T10:01:20.028550,5
Suit for possession in contract_dispute dispute,contract_dispute,0.5,high_court,2026-01-12T10:01:20.028550,4
Criminal complaint under 476 IPC,consumer_rights,0.2,district_court,2026-01-12T10:01:20.028550,3
Criminal complaint under 352 IPC,consumer_rights,0.2,district_court,2026-01-12T10:01:20.028550,3
Civil suit for recovery of ₹4684269 regarding goods,civil_dispute,0.3,district_court,2026-01-12T10:01:20.028550,1
Suit for injunction in labor_law dispute,labor_law,0.8,high_court,2026-01-12T10:01:20.028550,9
Criminal case filed for privacy breach against business,criminal_law,1.0,police_station,2026-01-11T10:01:20.028550,6
Criminal appeal challenging conviction under 318 IPC,civil_appeal,0.4,supreme_court,2026-01-11T10:01:20.028550,0
Civil suit for recovery of ₹777119 regarding loan,criminal_trial,0.8,district_court,2026-01-10T10:01:20.028550,7
Criminal complaint under 396 IPC,family_law,0.6,district_court,2026-01-10T10:01:20.028550,8
Criminal complaint under 405 IPC,criminal_trial,0.8,district_court,2026-01-09T10:01:20.028550,7
Civil suit for recovery of ₹1960427 regarding goods,civil_dispute,0.3,district_court,2026-01-09T10:01:20.028550,1
Police report of theft under 433 IPC,criminal_law,1.0,police_station,2026-01-08T10:01:20.028550,6
Civil suit for recovery of ₹2631759 regarding goods,civil_dispute,0.3,district_court,2026-01-08T10:01:20.028550,1
Suit for injunction in criminal_law dispute,criminal_law,1.0,high_court,2026-01-08T10:01:20.028550,6
Police report of cheating under 448 IPC,criminal_law,0.9,police_station,2026-01-07T10:01:20.028550,6
Police report of assault under 410 IPC,criminal_law,1.0,police_station,2026-01-06T10:01:20.028550,6
Petition challenging privacy violation under Article 24 of Constitution,constitutional_law,0.9,supreme_court,2026-01-05T10:01:20.028550,2
Criminal complaint under 426 IPC,family_law,0.6,district_court,2026-01-05T10:01:20.028550,8
Criminal appeal challenging conviction under 408 IPC,criminal_appeal,0.7,supreme_court,2026-01-04T10:01:20.028550,5
Suit for declaration in labor_law dispute,labor_law,0.8,high_court,2026-01-04T10:01:20.028550,9
Police report of cheating under 495 IPC,criminal_law,0.9,police_station,2026-01-04T10:01:20.028550,6
My boss hasn't paid my salary for 3 months,labor_law,0.7,user_input,2026-01-03T10:01:20.028550,9
Criminal complaint under 422 IPC,civil_dispute,0.3,district_court,2026-01-02T10:01:20.028550,1
Police report of assault under 388 IPC,criminal_law,1.0,police_station,2026-01-02T10:01:20.028550,6
Criminal complaint under 367 IPC,civil_dispute,0.3,district_court,2026-01-02T10:01:20.028550,1
Criminal complaint under 492 IPC,family_law,0.6,district_court,2026-01-01T10:01:20.028550,8
Petition challenging discrimination under Article 17 of Constitution,criminal_appeal,0.7,supreme_court,2026-01-01T10:01:20.028550,5
Police report of assault under 398 IPC,criminal_law,1.0,police_station,2026-01-01T10:01:20.028550,6
Petition challenging privacy violation under Article 27 of Constitution,taxation,0.4,supreme_court,2025-12-31T10:01:20.028550,12
Police report of criminal intimidation under 396 IPC,criminal_law,0.9,police_station,2025-12-31T10:01:20.028550,6
Petition challenging freedom of speech under Article 23 of Constitution,criminal_appeal,0.7,supreme_court,2025-12-29T10:01:20.028550,5
Police report of assault under 481 IPC,criminal_law,1.0,police_station,2025-12-28T10:01:20.028550,6
Criminal complaint under 416 IPC,consumer_rights,0.2,district_court,2025-12-28T10:01:20.028550,3
Petition challenging privacy violation under Article 16 of Constitution,service_matters,0.6,supreme_court,2025-12-27T10:01:20.028550,11
Suit for declaration in criminal_law dispute,criminal_law,1.0,high_court,2025-12-26T10:01:20.028550,6
Police report of assault under 401 IPC,criminal_law,1.0,police_station,2025-12-25T10:01:20.028550,6
Criminal appeal challenging conviction under 396 IPC,taxation,0.3,supreme_court,2025-12-23T10:01:20.028550,12
Criminal complaint under 452 IPC,consumer_rights,0.2,district_court,2025-12-23T10:01:20.028550,3
Civil suit for recovery of ₹3502119 regarding goods,consumer_rights,0.2,district_court,2025-12-23T10:01:20.028550,3
Civil suit for recovery of ₹2702599 regarding goods,criminal_trial,0.8,district_court,2025-12-23T10:01:20.028550,7
Service quality very poor,consumer_rights,0.2,user_input,2025-12-23T10:01:20.028550,3
Criminal complaint under 356 IPC,consumer_rights,0.2,district_court,2025-12-22T10:01:20.028550,3
Civil suit for recovery of ₹303469 regarding services,consumer_rights,0.2,district_court,2025-12-21T10:01:20.028550,3
